"","St.1","St.2","St.3","St.4","St.5","St.6","St.7","St.8","St.9","St.10","St.11","St.12","St.13","St.14","St.15","St.16","St.17","RS1"
"St.1",0,2002,9625,19671,26242,26630,27051,30931,31003,31296,31314,39707,39851,39990,40558,40582,40598,1605
"St.2",2002,0,7623,17669,24240,24628,25049,28929,29001,29294,29312,37704,37849,37988,38556,38580,38596,2089
"St.3",9625,7623,0,10048,16619,17007,17428,21309,21380,21673,21691,30084,30228,30367,30935,30960,30975,9712
"St.4",19671,17669,10048,0,6574,6963,7383,11264,11335,11628,11646,20039,20184,20322,20891,20915,20931,19758
"St.5",26242,24240,16619,6574,0,394,815,4695,4766,5060,5078,13470,13615,13754,14322,14346,14362,26329
"St.6",26630,24628,17007,6963,394,0,421,4301,4372,4666,4684,13076,13221,13360,13928,13952,13968,26717
"St.7",27051,25049,17428,7383,815,421,0,3886,3957,4250,4268,12661,12806,12944,13513,13537,13553,27138
"St.8",30931,28929,21309,11264,4695,4301,3886,0,582,938,1155,8775,8920,9059,9627,9651,9667,31019
"St.9",31003,29001,21380,11335,4766,4372,3957,582,0,482,651,8807,8952,9091,9659,9683,9699,31090
"St.10",31296,29294,21673,11628,5060,4666,4250,938,482,0,237,8662,8806,8945,9513,9538,9553,31383
"St.11",31314,29312,21691,11646,5078,4684,4268,1155,651,237,0,8735,8879,9018,9586,9610,9626,31401
"St.12",39707,37704,30084,20039,13470,13076,12661,8775,8807,8662,8735,0,152,301,869,894,909,39794
"St.13",39851,37849,30228,20184,13615,13221,12806,8920,8952,8806,8879,152,0,149,722,742,762,39938
"St.14",39990,37988,30367,20322,13754,13360,12944,9059,9091,8945,9018,301,149,0,592,597,632,40077
"St.15",40558,38556,30935,20891,14322,13928,13513,9627,9659,9513,9586,869,722,592,0,62,40,40645
"St.16",40582,38580,30960,20915,14346,13952,13537,9651,9683,9538,9610,894,742,597,62,0,67,40670
"St.17",40598,38596,30975,20931,14362,13968,13553,9667,9699,9553,9626,909,762,632,40,67,0,40685
"RS1",1605,2089,9712,19758,26329,26717,27138,31019,31090,31383,31401,39794,39938,40077,40645,40670,40685,0
